setting,test,strat,bin,n,acc_expr,acc_nbr,acc_smooth,gain_nbr,gain_smooth
WT->DB,DB2,hom_bin,0.8-1,5029,0.898787035195864,0.9296082720222708,0.9675879896599722,0.030821236826406806,0.06880095446410817
WT->DB,DB3,umi_bin,low,9001,0.684701699811132,0.7012554160648817,0.7283635151649817,0.016553716253749684,0.04366181535384961
WT->DB,DB3,umi_bin,mid,8993,0.8078505504281107,0.8069609696430557,0.8145224063160236,-0.0008895807850549664,0.006671855887912859
WT->DB,DB3,umi_bin,high,8997,0.8689563187729243,0.8692897632544181,0.8745137267978215,0.00033344448149374983,0.005557408024897126
WT->DB,DB3,hom_bin,0-0.2,3923,0.5042059648228396,0.47208768799388223,0.4272240632169258,-0.032118276828957404,-0.07698190160591384
WT->DB,DB3,hom_bin,0.2-0.4,4734,0.6776510350654837,0.6685678073510773,0.6662441909590199,-0.009083227714406394,-0.011406844106463865
WT->DB,DB3,hom_bin,0.4-0.6,6404,0.8044971892567145,0.816052467207995,0.8530605871330419,0.011555277951280418,0.04856339787632735
WT->DB,DB3,hom_bin,0.6-0.8,6415,0.8835541699142635,0.9078721745908028,0.9398285268901013,0.02431800467653933,0.056274356975837825
WT->DB,DB3,hom_bin,0.8-1,5515,0.9501359927470535,0.9651858567543065,0.9840435176790571,0.015049864007252944,0.03390752493200355
WT->HU,HU1,umi_bin,low,8236,0.3891452161243322,0.37712481787275376,0.3937591063623118,-0.012020398251578468,0.00461389023797959
WT->HU,HU1,umi_bin,mid,8233,0.37665492530061945,0.3785983238187781,0.38661484270618246,0.0019433985181586677,0.009959917405563012
WT->HU,HU1,umi_bin,high,8234,0.45008501335924217,0.47656060238037407,0.4729171726985669,0.026475589021131896,0.022832159339324753
WT->HU,HU1,hom_bin,0-0.2,7347,0.31631958622567036,0.3146862665033347,0.29345311011297126,-0.0016333197223356577,-0.022866476112699097
WT->HU,HU1,hom_bin,0.2-0.4,7689,0.3545324489530498,0.34204708024450514,0.3524515541682924,-0.012485368708544664,-0.0020808947847574255
WT->HU,HU1,hom_bin,0.4-0.6,5991,0.44132865965615087,0.4543481889500918,0.4775496578200634,0.013019529293940957,0.036220998163912554
WT->HU,HU1,hom_bin,0.6-0.8,2927,0.5999316706525453,0.6385377519644687,0.6727024256918347,0.038606081311923446,0.07277075503928943
WT->HU,HU1,hom_bin,0.8-1,749,0.7503337783711616,0.8197596795727636,0.8331108144192256,0.06942590120160208,0.08277703604806408
WT->HU,HU2,umi_bin,low,8994,0.3742494996664443,0.3634645319101623,0.37903046475428065,-0.01078496775628196,0.004780965087836375
WT->HU,HU2,umi_bin,mid,8982,0.38165219327543976,0.38354486751280337,0.38877755511022044,0.0018926742373636118,0.007125361834780686
WT->HU,HU2,umi_bin,high,8981,0.47901124596370115,0.5110789444382585,0.5066250974279034,0.03206769847455737,0.027613851464202255
WT->HU,HU2,hom_bin,0-0.2,7801,0.29752595821048583,0.2999615433918728,0.2715036533777721,0.002435585181386979,-0.026022304832713727
WT->HU,HU2,hom_bin,0.2-0.4,8029,0.3476148960019928,0.34612031386224934,0.3395192427450492,-0.001494582139743461,-0.008095653256943613
WT->HU,HU2,hom_bin,0.4-0.6,6189,0.43044110518662143,0.4393278397156245,0.46695750525125224,0.00888673452900307,0.036516400064630805
WT->HU,HU2,hom_bin,0.6-0.8,3483,0.6204421475739306,0.6497272466264714,0.6973873097904105,0.02928509905254084,0.07694516221647996
WT->HU,HU2,hom_bin,0.8-1,1455,0.7965635738831615,0.8268041237113402,0.8852233676975945,0.030240549828178698,0.08865979381443301
WT->WT,WT1,umi_bin,low,8336,0.6246401151631478,0.6362763915547025,0.6426343570057581,0.011636276391554734,0.017994241842610337
WT->WT,WT1,umi_bin,mid,8305,0.7499096929560506,0.7548464780252859,0.7524382901866346,0.004936785069235339,0.002528597230583962
WT->WT,WT1,umi_bin,high,8321,0.8442494892440813,0.8472539358250211,0.8471337579617835,0.0030044465809397902,0.0028842687177021986
WT->WT,WT1,hom_bin,0-0.2,4260,0.4164319248826291,0.3957746478873239,0.33474178403755867,-0.020657276995305174,-0.08169014084507042
WT->WT,WT1,hom_bin,0.2-0.4,4689,0.5928769460439326,0.5770953294945618,0.564725954361271,-0.015781616549370825,-0.028150991682661552
WT->WT,WT1,hom_bin,0.4-0.6,6039,0.7820831263454214,0.8041066401722139,0.8289451896009273,0.022023513826792462,0.046862063255505904
WT->WT,WT1,hom_bin,0.6-0.8,5718,0.9010143406785589,0.9260230849947534,0.9466596712137111,0.025008744316194487,0.045645330535152184
WT->WT,WT1,hom_bin,0.8-1,4256,0.9471334586466166,0.9586466165413534,0.9779135338345865,0.011513157894736836,0.03078007518796988
WT->WT,WT2,umi_bin,low,8447,0.640108914407482,0.6833195217236889,0.7017876169054102,0.04321060731620696,0.061678702497928284
WT->WT,WT2,umi_bin,mid,8451,0.7816826411075612,0.7825109454502426,0.784877529286475,0.0008283043426813297,0.0031948881789137795
WT->WT,WT2,umi_bin,high,8442,0.8512200900260601,0.8540630182421227,0.851575456053068,0.002842928216062579,0.0003553660270078085
WT->WT,WT2,hom_bin,0-0.2,4317,0.4116284456798703,0.3896224229789205,0.3242992819087329,-0.022006022700949757,-0.08732916377113736
WT->WT,WT2,hom_bin,0.2-0.4,4790,0.6361169102296451,0.6413361169102296,0.6405010438413361,0.005219206680584509,0.004384133611690988
WT->WT,WT2,hom_bin,0.4-0.6,6366,0.8100848256361922,0.8361608545397424,0.8774740810556079,0.026076028903550208,0.06738925541941565
WT->WT,WT2,hom_bin,0.6-0.8,5807,0.9140692267952472,0.9478215946271741,0.9724470466678147,0.03375236783192692,0.058377819872567516
WT->WT,WT2,hom_bin,0.8-1,4060,0.9630541871921182,0.9886699507389163,0.9972906403940887,0.025615763546798065,0.03423645320197044
WT->WT,WT3,umi_bin,low,11541,0.6641538861450481,0.6788839788579846,0.6937007191751148,0.01473009271293646,0.029546833030066666
WT->WT,WT3,umi_bin,mid,11543,0.7849779086892489,0.7881833145629386,0.7899159663865546,0.0032054058736896707,0.004938057697305709
WT->WT,WT3,umi_bin,high,11540,0.8750433275563259,0.8785095320623917,0.8760831889081456,0.0034662045060658286,0.0010398613518197708
WT->WT,WT3,hom_bin,0-0.2,5290,0.4283553875236295,0.4007561436672968,0.35897920604914935,-0.027599243856332722,-0.06937618147448016
WT->WT,WT3,hom_bin,0.2-0.4,6017,0.6262256938673758,0.6057836130962273,0.6157553598138608,-0.020442080771148508,-0.010470334053515051
WT->WT,WT3,hom_bin,0.4-0.6,8470,0.8020070838252656,0.8193624557260921,0.8467532467532467,0.017355371900826477,0.04474616292798106
WT->WT,WT3,hom_bin,0.6-0.8,7883,0.914372700748446,0.9464670810605099,0.9558543701636433,0.03209438031206391,0.041481669415197264
WT->WT,WT3,hom_bin,0.8-1,6964,0.9748707639287766,0.9915278575531303,0.9941125789775991,0.016657093624353747,0.019241815048822497
WTDB->HU,HU1,umi_bin,low,8236,0.38647401651287033,0.3857455075279262,0.39339485186983975,-0.0007285089849441428,0.0069208353569694125
WTDB->HU,HU1,umi_bin,mid,8233,0.38503583141017855,0.3880723915948014,0.3954815984452812,0.0030365601846228385,0.010445767035102638
WTDB->HU,HU1,umi_bin,high,8234,0.4528783094486276,0.4662375516152538,0.4740102016031091,0.013359242166626206,0.02113189215448147
WTDB->HU,HU1,hom_bin,0-0.2,7347,0.3216278753232612,0.31305294678099904,0.2975364094188104,-0.008574928542262161,-0.024091465904450826
WTDB->HU,HU1,hom_bin,0.2-0.4,7689,0.35687345558590194,0.35271166601638704,0.3638964754844583,-0.0041617895695149065,0.00702301989855636
