scheme,setting,train,test,model,seed,n_train,n_test,macro_f1,bal_acc,acc,f1_SPG,f1_SPC,f1_RS,f1_ES,f1_TubSom,f1_Interst,f1_Sertoli,f1_Myoid,f1_Leydig,f1_Endothelial,f1_Macrophage
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_only_k5,0,84926,21574,0.6419820484379021,0.665002041413449,0.672939649578196,0.4845801526717557,0.604281615537409,0.7177553175441242,0.7613111079983191,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_k15,0,84926,21574,0.7261249482515443,0.7476000416311447,0.7569759896171318,0.5617385577872901,0.7219262731728106,0.7845639623214828,0.8362709997245937,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_only_k15,0,84926,21574,0.6144905367207355,0.6357761418399863,0.645684620376379,0.4424540976265114,0.5823888404533566,0.6967096918600313,0.7364095169430426,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_k30,0,84926,21574,0.7228210695055644,0.7429941570795671,0.7541485120978956,0.5582094538166026,0.7176121930567316,0.7834472285497343,0.8320154025991886,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_only_k30,0,84926,21574,0.577978766013274,0.5956322583331197,0.6096226939834987,0.3957681418566532,0.5519473513863415,0.6683876677976103,0.6958119030124909,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,expr_mlp,0,84926,21574,0.7094081790762655,0.7202445220210775,0.7446926856401224,0.550531914893617,0.6877782274382841,0.771927162367223,0.8273954116059379,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_k15_mlp,0,84926,21574,0.7117484506848102,0.7177699552650425,0.752062668026328,0.5288401902005375,0.7029941272744777,0.7819959081609457,0.8331635771032797,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,sage_k15,0,84926,21574,0.7234182152139421,0.7426773184913489,0.7558171873551497,0.5549506634909833,0.7195844155844155,0.7820748925721301,0.8370628892082392,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,expr_mlp,1,84926,21574,0.7131428890105459,0.7279458130325479,0.7476592194307963,0.5475679542203148,0.6951156812339332,0.7786674724278592,0.8312204481600768,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_k15_mlp,1,84926,21574,0.7138284168815106,0.7258234703210292,0.7500231760452396,0.5417057169634489,0.7019682285942651,0.7780901010407961,0.8335496209275323,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,sage_k15,1,84926,21574,0.7224495584405474,0.742895602077612,0.7546583850931677,0.552591847005536,0.7187532467532467,0.7794863908965093,0.8389667491068975,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,expr_mlp,2,84926,21574,0.7134728747805277,0.7282174842199113,0.7488643737832577,0.5418143160878809,0.6991547532088073,0.7795435715899676,0.8333788582354548,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,nbr_k15_mlp,2,84926,21574,0.7084014337394848,0.7158475778999218,0.747102994345045,0.5327064595257563,0.7013261579857775,0.7682608027064431,0.8313123147399623,,,,,,,
germ4,WT->DB,WT1+WT2+WT3,DB1,sage_k15,2,84926,21574,0.725365423279392,0.7431913045589995,0.7571613979790488,0.5642732049036777,0.722547508988187,0.7783243658724058,0.8363166133532974,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,expr,0,58073,21574,0.7209295866898504,0.7312407959151257,0.7499304718642811,0.5942812982998454,0.7126819126819127,0.7584022251410029,0.818352910636641,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,smooth_a0.25,0,58073,21574,0.7257002192233816,0.733187634142859,0.7541948641883749,0.6040588937524871,0.7181039883065358,0.7627313925800753,0.8179066022544283,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,smooth_a0.5,0,58073,21574,0.7240849767196724,0.7255781793583195,0.7532678223787893,0.6049461001902346,0.7164682330629017,0.7618832050701675,0.8130423685553854,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,smooth_a0.75,0,58073,21574,0.6713974102793364,0.6634666453556026,0.7131732641142116,0.5096711798839458,0.6684612899752342,0.7304309906243186,0.7770261806338469,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,smooth_a1.0,0,58073,21574,0.5812496299404863,0.5744669638017923,0.6427644386761843,0.3567048786990136,0.570049369171695,0.6853693181818182,0.7128749537094186,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,nbr_k5,0,58073,21574,0.7279975116300472,0.7392980463627674,0.7547510892741263,0.6108128834355828,0.7210926910645397,0.7603804221758292,0.8197040498442367,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,nbr_only_k5,0,58073,21574,0.6357489237528169,0.6503213587634471,0.6665894131825345,0.4997371648852287,0.601896239480132,0.6950333131435493,0.7463289775023575,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,nbr_k15,0,58073,21574,0.7237340397120937,0.7344309389650026,0.7509502178548253,0.6045612678778508,0.7181987964307948,0.7550499187369398,0.8171261758027895,,,,,,,
germ4,DB->DB,DB2+DB3,DB1,nbr_only_k15,0,58073,21574,0.6094032812882951,0.6222690437629275,0.6422082135904329,0.4555458515283843,0.583464981569247,0.6735611510791367,0.7250411409764125,,,,,,,
